new_text,missing,deficient_slot,slot_freq,prompt
맛의곬,곬,(ㄽ|jong),1,"Realistic Korean street photograph. The image shows the closed storefront of a Korean business with a weathered yellow sign featuring large black Korean characters, set against a brick wall under a large gray banner, all under bright daylight., content of the text in the graphic is '맛의곬' placed in center."
바른곬,곬,(ㄽ|jong),1,"Realistic Korean street photograph. The image shows the nighttime exterior of a Korean storefront with a dark, patterned facade and large, metallic lettering, illuminated by artificial lights against a dark sky, with posters and signs visible in the windows and on stands., the written materials on the picture: '바른곬' located at middle."
우리의곬,곬,(ㄽ|jong),1,"Realistic Korean street photograph. A close-up shot captures a brightly lit, three-dimensional sign with white, green, and orange lettering mounted on a dark, reflective building facade, with a red awning visible below and a clear, sunny sky reflected in the glass above., the written materials on the picture: '우리의곬' positioned in left."
음식의곬,곬,(ㄽ|jong),1,"Realistic Korean street photograph. A blue sign with white text is mounted above a concrete structure, set against a backdrop of urban buildings under a bright, overcast sky., the written materials on the picture: '음식의곬' located on center."
돐잔치전문,돐,(ㄽ|jong),1,"Realistic Korean street photograph. At night, a brightly lit red sign for a Korean business hangs above a storefront, with a smaller yellow sign above it and a blue-lit structure below, all set against a dark building facade with visible wires and a streetlamp casting a glow., textual material depicted in the image are '돐잔치전문' on middle."
돐잔치케이크,돐,(ㄽ|jong),1,"Realistic Korean street photograph. The image shows a close-up of a wooden sign with engraved text and the English words below it, framed by two horizontal lines, set against a textured brown wood surface., that reads '돐잔치케이크' located at top."
전통돐잔치,돐,(ㄽ|jong),1,"Realistic Korean street photograph. A close-up shot of a modern storefront sign mounted on a reflective gold panel, set against a building facade with dark and green vertical accents under bright, even lighting., captions shown in the snapshot are '전통돐잔치' at middle."
핥아먹는아이스크림,핥,(ㄾ|jong),1,"Realistic Korean street photograph. A brightly lit, daytime photo shows a laundromat's sign mounted on a red brick wall, with a small, cracked window below and a tree visible to the right., the written materials on the picture: '핥아먹는아이스크림' positioned in middle."
핥아먹어요,핥,(ㄾ|jong),1,"Realistic Korean street photograph. The image shows a close-up of a multi-tiered, brightly lit business sign mounted on a building facade, featuring large, three-dimensional lettering in white, green, and blue against dark panels, with no visible street environment or weather conditions., captions shown in the snapshot are '핥아먹어요' on middle."
한번핥아보세요,핥,(ㄾ|jong),1,"Realistic Korean street photograph. A close-up shot of a white wall features raised, gold-colored lettering for a hair salon, with Korean characters above, positioned beneath a dark, pixelated digital display screen., textual material depicted in the image are '한번핥아보세요' located on left."
녹기전에핥아요,핥,(ㄾ|jong),1,"Realistic Korean street photograph. A street-level view of a Korean urban scene under an overcast sky, featuring a modern glass skyscraper, a red and black commercial building, and a traditional-style tiled roof below, all intersected by a dense network of overhead power lines and street poles., captions are '녹기전에핥아요' located at middle."
핥아먹는양념치킨,핥,(ㄾ|jong),1,"Realistic Korean street photograph. A close-up shot of a black signboard with white calligraphy and a small red seal, positioned above a display of grilled meat, suggesting a restaurant entrance under artificial lighting at night., texts that say '핥아먹는양념치킨' in center."
핥아드세요,핥,(ㄾ|jong),1,"Realistic Korean street photograph. A close-up shot of a storefront sign mounted on a red brick building facade, featuring bold blue and green lettering and a cartoon mascot, under bright, clear daylight., captions shown in the snapshot are '핥아드세요' at bottom."
훑어보는맛집,훑,(ㄾ|jong),1,"Realistic Korean street photograph. The image shows the exterior of a multi-story building with prominent, colorful signage for businesses on different floors, set against a backdrop of a partly cloudy sky and adjacent urban structures., texts that say '훑어보는맛집' at top right."
훑고또오는집,훑,(ㄾ|jong),1,"Realistic Korean street photograph. A close-up shot of a brightly colored sign for a daycare, mounted above a glass door on a building with a reflective red facade, under clear daylight with visible reflections of nearby buildings and a utility pole., the written materials on the picture: '훑고또오는집' in center."
일단훑어보세요,훑,(ㄾ|jong),1,"Realistic Korean street photograph. A street-level view of a Korean urban scene, featuring a weathered white sign for a restaurant mounted on a building with a green facade, alongside a yellow sign, under an overcast sky with visible overhead wires., the written materials on the picture: '일단훑어보세요' at bottom."
쭉훑어보세요,훑,(ㄾ|jong),1,"Realistic Korean street photograph. A red storefront sign with white lettering is mounted on a building with light-colored brickwork, positioned above a weathered green awning, under the diffuse light of an overcast day., captions shown in the snapshot are '쭉훑어보세요' placed at center."
넋두리주막,넋,(ㄳ|jong),5,"Realistic Korean street photograph. A close-up shot of a building's facade, featuring a large, colorful sign with characters mounted below a row of windows, set against a red brick wall under an overcast sky., content of the text in the graphic is '넋두리주막' positioned at middle."
넋을담은국물,넋,(ㄳ|jong),5,"Realistic Korean street photograph. A close-up shot captures a weathered, white sign with bold red characters and a black icon, mounted on a building facade with a window and laundry visible in the background under overcast, diffused lighting., content and position of the texts are '넋을담은국물' placed at center."
넋나가는맛,넋,(ㄳ|jong),5,"Realistic Korean street photograph. Under a clear blue sky, a restaurant with a large white sign and red awning sits in an urban alley, its entrance framed by wooden scaffolding and a parked blue truck, with bright sunlight casting sharp shadows across the pavement., captions are '넋나가는맛' placed at middle."
넋두리술집,넋,(ㄳ|jong),5,"Realistic Korean street photograph. A bright blue storefront sign with a cartoon monkey graphic is mounted on a building facade, with ornate metal railings visible above and sunlight casting distinct shadows across the sign and surrounding stone walls., content of the text in the graphic is '넋두리술집' placed in middle."
넋이담긴한끼,넋,(ㄳ|jong),5,"Realistic Korean street photograph. A white-paneled building with a large blue sign, set against a backdrop of a tree-covered hill under an overcast sky., textual material depicted in the image are '넋이담긴한끼' placed on left."
삯바느질공방,삯,(ㄳ|jong),5,"Realistic Korean street photograph. The image shows the weathered facade of a building with tiled walls and large glass windows, displaying faded signage in both English and Korean, under bright, clear daylight., content of the text in the graphic is '삯바느질공방' located on bottom left."
삯일공방,삯,(ㄳ|jong),5,"Realistic Korean street photograph. At night, a brightly lit storefront sign casts a purple glow against a dark sky, mounted above a glass door reflecting interior light., textual material depicted in the image are '삯일공방' positioned in center."
삯일하는곳,삯,(ㄳ|jong),5,"Realistic Korean street photograph. A close-up shot captures a light blue sign with text mounted on a textured, off-white brick wall above a blue storefront, under bright, even daylight., captions shown in the snapshot are '삯일하는곳' placed in center."
삯바느질전문점,삯,(ㄳ|jong),5,"Realistic Korean street photograph. A close-up shot of a restaurant sign mounted on a building facade, featuring bold black lettering and a yellow-orange accent bar, set against a backdrop of windows with horizontal blinds under bright, clear daylight., the written materials on the picture: '삯바느질전문점' positioned in middle."
정성과넋,넋,(ㄳ|jong),5,"Realistic Korean street photograph. A close-up shot captures a bright pink storefront sign with raised silver lettering, set against a backdrop of bare tree branches silhouetted against a pale sky, suggesting a cool, possibly winter day., that reads '정성과넋' located in middle."
시를읊는카페,읊,(ㄿ|jong),5,"Realistic Korean street photograph. At night, a brightly lit neon sign with red and white lettering is mounted on a building facade above a striped awning, with a utility pole and wires in the foreground against a dark, tiled wall., content of the text in the graphic is '시를읊는카페' located at left."
읊조리는공간,읊,(ㄿ|jong),5,"Realistic Korean street photograph. A bright yellow and brown storefront sign with large red characters and a phone number is mounted above a closed metal security gate, with dappled sunlight and shadows from nearby foliage cast across its surface., captions are '읊조리는공간' positioned at middle."
시읊는밤,읊,(ㄿ|jong),5,"Realistic Korean street photograph. A close-up shot of a red sign with large Korean characters, likely mounted on a building facade, under bright, direct lighting that creates reflections on its glossy surface., that reads '시읊는밤' placed in middle."
읊조림카페,읊,(ㄿ|jong),5,"Realistic Korean street photograph. A close-up shot captures a modern, metallic sign mounted on a dark, tiled wall above a textured, circular-patterned surface, illuminated by bright, even lighting under clear, sunny conditions., with the words of '읊조림카페' placed in top."
시읊기공간,읊,(ㄿ|jong),5,"Realistic Korean street photograph. A bright, sunlit daytime shot of a Korean storefront with a colorful, three-dimensional sign mounted on a textured stone facade, featuring large, stylized lettering and a window with blinds above, with a digital display and additional signage visible in the upper right., captions are '시읊기공간' positioned on left."
읊조리는책방,읊,(ㄿ|jong),5,"Realistic Korean street photograph. The image shows the exterior of a building with a dark signboard featuring large, raised lettering, set against a backdrop of windows and a yellow banner, under natural daylight with no visible weather effects., captions are '읊조리는책방' positioned on middle."
함께읊조리다,읊,(ㄿ|jong),5,"Realistic Korean street photograph. A bright pink sign with white lettering is mounted on the facade of a multi-story building with a light-colored tiled exterior and large windows, under an overcast sky., textual material depicted in the image are '함께읊조리다' placed in left."
읊는공간,읊,(ㄿ|jong),5,"Realistic Korean street photograph. A close-up shot at night captures a brightly lit sign on a dark, speckled stone wall, likely part of a medical clinic or hospital entrance, with the glowing white characters standing out against the dim, urban background., textual material depicted in the image are '읊는공간' placed in middle."
읊조리는다방,읊,(ㄿ|jong),5,"Realistic Korean street photograph. A bright yellow sign with green characters and a red phone number is mounted on the facade of a weathered brick building, with windows visible above and below, under what appears to be overcast daylight., with the words of '읊조리는다방' positioned at middle."
읊조리는밤,읊,(ㄿ|jong),5,"Realistic Korean street photograph. A close-up outdoor shot captures a modern building facade with a large, illuminated sign against dark glass windows, framed by bare tree branches and bathed in the warm, low light of either sunrise or sunset., with the words of '읊조리는밤' positioned at center."
앉아서쉬어가세요,앉,(ㄵ|jong),20,"Realistic Korean street photograph. A green storefront sign with Korean text and a phone number is mounted above a matching green awning on a brick building, under the soft, diffused light of an overcast day., textual material depicted in the image are '앉아서쉬어가세요' positioned at center."
잠시앉아가세요,앉,(ㄵ|jong),20,"Realistic Korean street photograph. A storefront with a closed metal roll-down door and a sign, set against a gray tiled wall under bright, clear daylight., content and position of the texts are '잠시앉아가세요' positioned at top left."
앉아서드세요,앉,(ㄵ|jong),20,"Realistic Korean street photograph. A close-up shot captures a large, weathered sign with bold black lettering against a light background, mounted above a storefront with a brick facade and a blue window, under an overcast sky., with the words of '앉아서드세요' on middle."
편히앉아쉬세요,앉,(ㄵ|jong),20,"Realistic Korean street photograph. A red sign is mounted on a weathered stone wall beneath a beige building, illuminated by red LED lights, suggesting a casual eatery or shop in a modest, possibly urban or suburban, outdoor setting., the written materials on the picture: '편히앉아쉬세요' located at right."
앉아서즐기세요,앉,(ㄵ|jong),20,"Realistic Korean street photograph. A close-up shot of a light gray business sign with black and orange text, mounted on the exterior of a building with a window and stone wall above, under bright daylight with a thin layer of snow visible at the bottom edge., textual material depicted in the image are '앉아서즐기세요' located in middle."
앉아서기다려요,앉,(ㄵ|jong),20,"Realistic Korean street photograph. A bright, sunny day illuminates the exterior of a restaurant, where a large white sign with bold lettering and a cartoon mascot hangs above glass doors framed by stone pillars, with a yellow banner and a parked car visible in the foreground., content of the text in the graphic is '앉아서기다려요' at middle."
앉아서주문해요,앉,(ㄵ|jong),20,"Realistic Korean street photograph. A bright, sunlit outdoor shot captures a white business sign mounted above a building's glass doors, with a concrete wall behind it and a glare reflecting off the sign's surface., content and position of the texts are '앉아서주문해요' positioned in top."
편하게앉아요,앉,(ㄵ|jong),20,"Realistic Korean street photograph. A nighttime photo of a restaurant's illuminated sign mounted on a dark stone facade above a green awning, with bright white and orange lettering standing out against the dimly lit urban street., content and position of the texts are '편하게앉아요' placed on center."
잠깐앉아가요,앉,(ㄵ|jong),20,"Realistic Korean street photograph. The image shows the facade of a building under bright, clear daylight, featuring a large brown sign with white lettering and smaller white panels below it, all set against a wall with reflective windows above., captions shown in the snapshot are '잠깐앉아가요' positioned on middle."
앉아서쉬어요,앉,(ㄵ|jong),20,"Realistic Korean street photograph. A vibrant purple and pink sign hangs outdoors against a backdrop of weathered buildings, exposed pipes, and tangled wires, with a large arrow pointing right to the motel entrance, under bright daylight., the written materials on the picture: '앉아서쉬어요' placed at left."
앉아서즐기는카페,앉,(ㄵ|jong),20,"Realistic Korean street photograph. A close-up shot captures a blue, three-dimensional Korean sign mounted on a weathered, gray tiled wall, with bright, direct sunlight casting sharp shadows on the ground below, suggesting a clear, sunny day., texts that say '앉아서즐기는카페' at middle."
앉아서수다,앉,(ㄵ|jong),20,"Realistic Korean street photograph. A low-angle shot captures a white sign with bold black text mounted on a plain gray wall under an overcast sky, with a simple utility pole visible in the background., texts that say '앉아서수다' on center."
편히앉아드세요,앉,(ㄵ|jong),20,"Realistic Korean street photograph. A weathered, rust-colored signboard for a karaoke establishment is mounted on a gray building facade, featuring large Korean characters and a smaller English name below, with three security cameras positioned above it under overcast lighting., captions shown in the snapshot are '편히앉아드세요' positioned at right."
앉아서기다리세요,앉,(ㄵ|jong),20,"Realistic Korean street photograph. The image shows a modern building facade with a glass curtain wall and a yellow metal overhang, featuring a prominent sign mounted on horizontal metal bars, under bright daylight with clear reflections on the glass surfaces., textual material depicted in the image are '앉아서기다리세요' located in center."
앉아서맛보세요,앉,(ㄵ|jong),20,"Realistic Korean street photograph. A weathered, beige-painted wall with visible cracks and a black pipe on the right holds a large, multi-colored business sign, featuring bold black Korean characters, a red banner with yellow text, and a blue banner with white text, all under even, diffused daylight., captions shown in the snapshot are '앉아서맛보세요' placed in top left."
넓은공간,넓,(ㄼ|jong),78,"Realistic Korean street photograph. A brightly lit, maroon storefront sign for a Korean restaurant is mounted above a glass-fronted entrance, featuring illuminated lettering, food photos, and a 24-hour service indicator, with reflections of a street and buildings visible in the glass and a clear sky above., that reads '넓은공간' placed at center."
넓은마당,넓,(ㄼ|jong),78,"Realistic Korean street photograph. A nighttime photo captures a brightly lit, stylized sign on a wooden slat facade above a storefront, with the dark interior and streetlights visible below., content and position of the texts are '넓은마당' placed in top."
넓은주차장,넓,(ㄼ|jong),78,"Realistic Korean street photograph. A bright, sunny day illuminates the facade of a Korean storefront, featuring a large white sign with bold red lettering, mounted above glass doors and framed by a row of windows reflecting bare tree branches against a clear sky., that reads '넓은주차장' located in center."
넓은홀,넓,(ㄼ|jong),78,"Realistic Korean street photograph. A brightly lit, white rectangular sign stands out against a dark, nighttime street, its illuminated surface casting a glow on the surrounding darkness., that reads '넓은홀' on right."
넓은가게,넓,(ㄼ|jong),78,"Realistic Korean street photograph. The image shows a close-up of a brightly lit, illuminated sign on a building facade at night, with warm spotlights casting reflections on the glass windows above and a dark, indistinct street environment in the background., captions are '넓은가게' positioned at bottom."
넓게사용하세요,넓,(ㄼ|jong),78,"Realistic Korean street photograph. The image shows bold, black characters mounted on a bright white, vertically ribbed surface, likely an outdoor sign, with strong sunlight casting sharp shadows and faint overhead wires visible against the background., textual material depicted in the image are '넓게사용하세요' placed on center."
넓은테이블,넓,(ㄼ|jong),78,"Realistic Korean street photograph. A close-up shot of a blue sign mounted on a speckled gray stone wall, likely outdoors under bright, even lighting with no visible weather effects., with the words of '넓은테이블' located at top."
넓고시원한홀,넓,(ㄼ|jong),78,"Realistic Korean street photograph. The image shows the exterior of a building with a beige stone facade and large windows, featuring a prominent sign for a business that also advertises a cafe, with a coffee logo visible in the glass storefront below., content of the text in the graphic is '넓고시원한홀' positioned on center."
넓은야외공간,넓,(ㄼ|jong),78,"Realistic Korean street photograph. A close-up shot of a restaurant's exterior sign mounted on a gray stone facade, featuring large red and white characters and a number against a dark background, with a window above reflecting a neighboring building and a small menu board visible to the left., that reads '넓은야외공간' located in center."
넓어서좋아요,넓,(ㄼ|jong),78,"Realistic Korean street photograph. The image shows a nighttime exterior of a building with a sign featuring a playing card logo, mounted on a tiled facade above a glass storefront, illuminated by artificial lighting with no visible weather elements., content of the text in the graphic is '넓어서좋아요' positioned at middle."
넓은하늘아래,넓,(ㄼ|jong),78,"Realistic Korean street photograph. A close-up shot captures a light blue storefront sign with raised, silver lettering mounted beneath a textured, reddish-brown brick facade, with a partially visible doorway below and no discernible street or weather conditions., the written materials on the picture: '넓은하늘아래' placed in middle."
짧은대기시간,짧,(ㄼ|jong),78,"Realistic Korean street photograph. A close-up shot of a weathered, deep red storefront sign with large, raised characters, mounted above a glass window with metal bars, under bright daylight that casts sharp shadows, with reflections of utility poles and wires visible in the glass., the written materials on the picture: '짧은대기시간' located on left."
짧고굵게,짧,(ㄼ|jong),78,"Realistic Korean street photograph. A green sign is mounted on a brick building facade, positioned above a metal awning, under artificial lighting that suggests nighttime or low-light conditions., that reads '짧고굵게' positioned on left."
짧은웨이팅,짧,(ㄼ|jong),78,"Realistic Korean street photograph. A bright red sign with white lettering is mounted on a white, horizontally ribbed building facade, flanked by decorative floral patterns and topped by a gold crown emblem, under an overcast sky with three floodlights visible above., textual material depicted in the image are '짧은웨이팅' positioned on center."
짧게드립니다,짧,(ㄼ|jong),78,"Realistic Korean street photograph. A sunlit urban street scene in Korea features a small storefront with a striped awning, a parked scooter, and adjacent buildings with signs and shutters, under clear skies with distinct shadows., the written materials on the picture: '짧게드립니다' positioned in top."
짧아서더좋아,짧,(ㄼ|jong),78,"Realistic Korean street photograph. A close-up shot of a black, illuminated signboard mounted on a building facade, featuring large white characters and a stylized graphic of a thumbs-up next to a beer bottle, with a white outdoor light fixture visible in the foreground., with the words of '짧아서더좋아' placed in middle."
짧은시간에한끼,짧,(ㄼ|jong),78,"Realistic Korean street photograph. The image shows the storefront of a Korean sports shop, featuring a large sign with blue and red lettering on a gray stone facade, with a glass entrance and windows reflecting the street, under bright daylight., the written materials on the picture: '짧은시간에한끼' positioned in middle."
짧은줄서기,짧,(ㄼ|jong),78,"Realistic Korean street photograph. A white storefront sign with decorative floral and butterfly motifs is mounted on a building under a clear blue sky, with streetlights and part of a tiled building visible in the background., captions are '짧은줄서기' positioned in middle."
밟고가세요,밟,(ㄼ|jong),78,"Realistic Korean street photograph. A close-up shot captures a modern sign mounted on a gray, textured concrete wall under bright, even daylight., captions shown in the snapshot are '밟고가세요' positioned in center."
발로밟아만든,밟,(ㄼ|jong),78,"Realistic Korean street photograph. A weathered, blue-and-white Korean sign for an employment training center is mounted on a building facade at night, illuminated by artificial light against a dark, urban backdrop., these texts are written on it: '발로밟아만든' placed on center."
밟아온길,밟,(ㄼ|jong),78,"Realistic Korean street photograph. A close-up shot captures a bold, red sign with three characters mounted on a dark gray, horizontally slatted facade, positioned beneath a wooden wall and two spotlights, with a decorative metal railing visible above., these texts are written on it: '밟아온길' located in middle."
한걸음밟고오세요,밟,(ㄼ|jong),78,"Realistic Korean street photograph. A close-up shot of a bright yellow and black business sign mounted on a red brick wall, with a dark window visible above, captured under dim, artificial lighting that suggests nighttime or low-light conditions., captions are '한걸음밟고오세요' located at center."
밟을수록맛있어,밟,(ㄼ|jong),78,"Realistic Korean street photograph. At night, a brightly lit café sign with English and Korean text is mounted above a storefront, with a dark car parked in front and overhead wires crisscrossing the urban street scene., with the words of '밟을수록맛있어' placed at middle."
끓여드립니다,끓,(ㅀ|jong),173,"Realistic Korean street photograph. A nighttime photo of a restaurant's illuminated sign, featuring large white characters against a dark maroon background, with the interior visible through glass windows displaying menus and food images under artificial lighting., content and position of the texts are '끓여드립니다' located at left."
뚝배기끓이기,끓,(ㅀ|jong),173,"Realistic Korean street photograph. A white sign with red and blue text is mounted on a brick wall beneath a window, with visible wiring and pipes nearby, suggesting an urban or commercial setting under overcast, diffused daylight., these texts are written on it: '뚝배기끓이기' in middle."
직접끓인국물,끓,(ㅀ|jong),173,"Realistic Korean street photograph. A bright, two-toned green and red sign hangs above a storefront entrance on a brick building, under clear, sunny skies., content of the text in the graphic is '직접끓인국물' in middle."
끓인설렁탕,끓,(ㅀ|jong),173,"Realistic Korean street photograph. A close-up shot of a dark wood-grain sign with white and gold lettering, mounted on a concrete facade above a storefront entrance, under overcast skies with raindrops visible on the glass windows above., the written materials on the picture: '끓인설렁탕' placed at right."
끓는점맛집,끓,(ㅀ|jong),173,"Realistic Korean street photograph. A white business sign is mounted on the brick facade of a building, with bare tree branches and overhead wires visible against a gray, overcast sky., content and position of the texts are '끓는점맛집' at middle."
펄펄끓는국물,끓,(ㅀ|jong),173,"Realistic Korean street photograph. The image shows the facade of a multi-story building with several brightly lit signs mounted on its beige stone walls, featuring colorful lettering and decorative elements, set against a backdrop of dark-framed windows with ornate black railings under what appears to be overcast or diffused daylight., texts that say '펄펄끓는국물' at left."
매일끓여요,끓,(ㅀ|jong),173,"Realistic Korean street photograph. A bright red sign for a Korean establishment, likely a board game cafe, is illuminated against a dark night sky, with several streetlights visible above it., captions are '매일끓여요' placed at left."
정성껏끓인,끓,(ㅀ|jong),173,"Realistic Korean street photograph. A bright yellow sign with colorful lettering and a cartoon chef is mounted above a red and white striped awning, set against a tiled wall under even, diffused daylight., these texts are written on it: '정성껏끓인' placed in left."
오래끓인사골,끓,(ㅀ|jong),173,"Realistic Korean street photograph. A close-up shot captures a building facade with a white panel displaying dark, three-dimensional characters, set against a backdrop of reflective glass windows that mirror the surrounding urban environment under bright, clear daylight., captions are '오래끓인사골' positioned in bottom."
보글보글끓여요,끓,(ㅀ|jong),173,"Realistic Korean street photograph. A nighttime shot of a Korean business sign with illuminated white lettering on a dark facade, mounted above a glass storefront with interior lights visible, under a clear sky., content of the text in the graphic is '보글보글끓여요' on left."
직화로끓인,끓,(ㅀ|jong),173,"Realistic Korean street photograph. The image shows two illuminated signs on a building facade at night, with the upper red sign advertising a Korean skin care business and the lower black sign advertising a beer and coffee shop, both featuring Korean and English text against dark backgrounds., these texts are written on it: '직화로끓인' placed on left."
끓이는방식,끓,(ㅀ|jong),173,"Realistic Korean street photograph. A close-up shot captures a brightly lit, orange-red sign for a restaurant, mounted on a building facade with white brickwork and a black metal railing above, under the glow of an artificial light source., these texts are written on it: '끓이는방식' positioned at center."
시원하게뚫리는맛,뚫,(ㅀ|jong),173,"Realistic Korean street photograph. A close-up shot captures metallic lettering mounted on a dark, tiled building facade under bright, direct sunlight, with a security camera and a small orange address plaque visible below., with the words of '시원하게뚫리는맛' placed in center."
뚫어라주방,뚫,(ㅀ|jong),173,"Realistic Korean street photograph. The image shows the brightly lit, modern facade of a restaurant at night, featuring large white lettering on a gray signboard above glass doors, with warm interior lighting visible through the entrance and decorative wall-mounted lamps illuminating the tiled exterior., these texts are written on it: '뚫어라주방' positioned at middle."
뚫어주는매운맛,뚫,(ㅀ|jong),173,"Realistic Korean street photograph. A bright yellow and black storefront sign with a cartoon mascot is mounted above a glass door, illuminated by artificial lights against a dark, nighttime urban backdrop., with the words of '뚫어주는매운맛' positioned in top."
속이뚫리는국물,뚫,(ㅀ|jong),173,"Realistic Korean street photograph. A close-up shot of a weathered, off-white storefront sign with a paw print graphic, mounted under a white overhang with a security camera and a thin wire running across the frame, suggesting an urban street setting under natural daylight., captions are '속이뚫리는국물' placed at middle."
뚫고나온맛,뚫,(ㅀ|jong),173,"Realistic Korean street photograph. A bright blue sign with white text and pet-themed icons is mounted above a stone-clad storefront, set against a brick building under clear, sunny skies., captions shown in the snapshot are '뚫고나온맛' on left."
싫증나지않는맛,싫,(ㅀ|jong),173,"Realistic Korean street photograph. A weathered blue sign with white text is mounted on a rough concrete wall beneath a corrugated metal roof, with a building visible in the background under an overcast sky., texts that say '싫증나지않는맛' placed at left."
